Date, Open, High, Low, Close
04/23/18, 24488.07, 24536.89, 24328.54, 24448.69
04/20/18, 24657.39, 24678.07, 24375.04, 24462.94
04/19/18, 24711.30, 24762.48, 24557.03, 24664.89
04/18/18, 24820.85, 24832.54, 24721.09, 24748.07
04/17/18, 24681.79, 24858.97, 24681.79, 24786.63
04/16/18, 24483.15, 24675.36, 24480.20, 24573.04
04/13/18, 24582.82, 24646.45, 24243.74, 24360.14
04/12/18, 24302.82, 24592.12, 24302.82, 24483.05
04/11/18, 24274.19, 24366.57, 24150.87, 24189.45
04/10/18, 24198.95, 24511.35, 24198.95, 24408.00
04/09/18, 24037.52, 24373.18, 23954.83, 23979.10
04/06/18, 24373.60, 24434.40, 23738.20, 23932.76
04/05/18, 24313.91, 24622.26, 24313.91, 24505.22
04/04/18, 23654.15, 24308.96, 23523.16, 24264.30
04/03/18, 23698.33, 24044.35, 23664.33, 24033.36
04/02/18, 24076.60, 24123.80, 23344.52, 23644.19
03/29/18, 23949.18, 24314.30, 23928.13, 24103.11
03/28/18, 23883.08, 24092.47, 23728.67, 23848.42
03/27/18, 24276.62, 24446.22, 23708.73, 23857.71
03/26/18, 23825.74, 24232.30, 23741.22, 24202.60
03/23/18, 23995.18, 24108.47, 23509.06, 23533.20
03/22/18, 24526.01, 24526.01, 23938.74, 23957.89
03/21/18, 24723.49, 24977.65, 24655.40, 24682.31
03/20/18, 24650.64, 24803.61, 24650.64, 24727.27
03/19/18, 24893.69, 24893.69, 24453.14, 24610.91
03/16/18, 24877.34, 25031.00, 24857.09, 24946.51
03/15/18, 24837.29, 25053.87, 24753.29, 24873.66
03/14/18, 25086.97, 25130.12, 24668.83, 24758.12
03/13/18, 25257.75, 25376.40, 24947.50, 25007.03
03/12/18, 25372.44, 25449.15, 25152.02, 25178.61
03/09/18, 25004.89, 25336.33, 25004.89, 25335.74
03/08/18, 24853.41, 24950.49, 24703.05, 24895.21
03/07/18, 24758.15, 24849.68, 24535.12, 24801.36
03/06/18, 24965.89, 24995.24, 24708.41, 24884.12
03/05/18, 24471.31, 24961.00, 24387.15, 24874.76
03/02/18, 24394.91, 24592.46, 24217.76, 24538.06
03/01/18, 25024.04, 25185.35, 24442.56, 24608.98
02/28/18, 25485.15, 25576.15, 25022.42, 25029.20
02/27/18, 25735.78, 25800.35, 25407.83, 25410.03
02/26/18, 25403.35, 25732.80, 25398.56, 25709.27
02/23/18, 25050.51, 25313.91, 25028.73, 25309.99
02/22/18, 24855.41, 25156.72, 24854.83, 24962.48
02/21/18, 24988.06, 25267.99, 24792.99, 24797.78
02/20/18, 25124.91, 25179.01, 24884.19, 24964.75
02/16/18, 25165.94, 25432.42, 25149.26, 25219.38
02/15/18, 25047.82, 25203.95, 24809.42, 25200.37
02/14/18, 24535.82, 24925.95, 24490.36, 24893.49
02/13/18, 24540.33, 24705.72, 24421.03, 24640.45
02/12/18, 24337.76, 24765.16, 24290.48, 24601.27
02/09/18, 23992.67, 24382.14, 23360.29, 24190.90
02/08/18, 24902.30, 24903.68, 23849.23, 23860.46
02/07/18, 24892.87, 25293.96, 24785.44, 24893.35
02/06/18, 24085.17, 24946.23, 23778.74, 24912.77
02/05/18, 25337.87, 25520.53, 23923.88, 24345.75
02/02/18, 26061.79, 26061.79, 25490.66, 25520.96
02/01/18, 26083.04, 26306.70, 26014.44, 26186.71
01/31/18, 26268.17, 26338.03, 26050.98, 26149.39
01/30/18, 26198.45, 26256.99, 26028.42, 26076.89
01/29/18, 26584.28, 26608.90, 26435.34, 26439.48
01/26/18, 26466.74, 26616.71, 26425.35, 26616.71
01/25/18, 26313.06, 26458.25, 26259.72, 26392.79
01/24/18, 26282.07, 26392.80, 26106.94, 26252.12
01/23/18, 26214.87, 26246.19, 26143.90, 26210.81
01/22/18, 26025.32, 26215.23, 25974.65, 26214.60
01/19/18, 25987.35, 26071.72, 25942.83, 26071.72
01/18/18, 26149.55, 26153.42, 25947.32, 26017.81
01/17/18, 25910.78, 26130.45, 25865.02, 26115.65
01/16/18, 25987.62, 26086.12, 25702.99, 25792.86
01/12/18, 25638.39, 25810.43, 25633.08, 25803.19
01/11/18, 25398.60, 25575.42, 25396.19, 25574.73
01/10/18, 25348.13, 25404.92, 25256.99, 25369.13
01/09/18, 25312.05, 25439.78, 25308.41, 25385.80
01/08/18, 25308.40, 25311.99, 25235.41, 25283.00
01/05/18, 25114.92, 25299.79, 25112.01, 25295.87
01/04/18, 24964.86, 25105.96, 24963.27, 25075.13
01/03/18, 24850.45, 24941.92, 24825.55, 24922.68
01/02/18, 24809.35, 24864.19, 24741.70, 24824.01
12/29/17, 24849.63, 24871.66, 24719.22, 24719.22
12/28/17, 24807.21, 24839.23, 24797.13, 24837.51
12/27/17, 24766.52, 24789.52, 24731.68, 24774.30
12/26/17, 24715.84, 24778.13, 24708.42, 24746.21
12/22/17, 24764.04, 24784.15, 24717.51, 24754.06
12/21/17, 24778.26, 24850.91, 24766.27, 24782.29
12/20/17, 24838.09, 24852.44, 24697.11, 24726.65
12/19/17, 24834.38, 24850.11, 24715.60, 24754.75
12/18/17, 24739.56, 24876.07, 24739.56, 24792.20
12/15/17, 24585.71, 24688.62, 24584.44, 24651.74
12/14/17, 24631.01, 24672.48, 24508.66, 24508.66
12/13/17, 24525.19, 24666.02, 24518.30, 24585.43
12/12/17, 24452.96, 24552.97, 24443.83, 24504.80
12/11/17, 24338.11, 24389.72, 24314.74, 24386.03
12/08/17, 24263.26, 24330.12, 24225.50, 24329.16
12/07/17, 24116.60, 24262.88, 24101.24, 24211.48
12/06/17, 24171.90, 24229.35, 24134.49, 24140.91
12/05/17, 24335.01, 24349.74, 24155.28, 24180.64
12/04/17, 24424.11, 24534.04, 24288.19, 24290.05
12/01/17, 24305.40, 24322.06, 23921.90, 24231.59
11/30/17, 24013.80, 24327.82, 24013.80, 24272.35
11/29/17, 23883.26, 23959.76, 23872.59, 23940.68
11/28/17, 23625.19, 23849.61, 23617.11, 23836.71
11/27/17, 23552.86, 23638.92, 23545.02, 23580.78
11/24/17, 23552.75, 23599.18, 23551.59, 23557.99
11/22/17, 23597.24, 23605.77, 23507.61, 23526.18
11/21/17, 23500.15, 23617.80, 23500.15, 23590.83
11/20/17, 23370.71, 23456.88, 23360.58, 23430.33
11/17/17, 23433.77, 23433.77, 23356.01, 23358.24
11/16/17, 23365.34, 23492.19, 23365.34, 23458.36
11/15/17, 23334.59, 23344.99, 23242.75, 23271.28
11/14/17, 23388.40, 23414.08, 23271.57, 23409.47
11/13/17, 23367.47, 23461.68, 23343.34, 23439.70
11/10/17, 23432.71, 23452.20, 23392.96, 23422.21
11/09/17, 23492.09, 23516.74, 23310.02, 23461.94
11/08/17, 23542.60, 23575.00, 23510.56, 23563.36
11/07/17, 23574.03, 23602.12, 23484.19, 23557.23
11/06/17, 23533.96, 23574.86, 23520.75, 23548.42
11/03/17, 23549.59, 23557.06, 23481.57, 23539.19
11/02/17, 23463.24, 23531.38, 23350.98, 23516.26
11/01/17, 23442.90, 23517.71, 23388.91, 23435.01
10/31/17, 23369.22, 23406.35, 23334.39, 23377.24
10/30/17, 23405.75, 23428.75, 23327.87, 23348.74
10/27/17, 23419.16, 23449.40, 23353.16, 23434.19
10/26/17, 23380.89, 23459.84, 23380.89, 23400.86
10/25/17, 23431.09, 23451.51, 23251.11, 23329.46
10/24/17, 23346.78, 23485.25, 23343.23, 23441.76
10/23/17, 23348.95, 23368.37, 23273.96, 23273.96
10/20/17, 23205.18, 23328.84, 23201.78, 23328.63
10/19/17, 23107.47, 23167.24, 23052.67, 23163.04
10/18/17, 23087.13, 23172.93, 23086.75, 23157.60
10/17/17, 22952.41, 23002.20, 22948.23, 22997.44
10/16/17, 22892.92, 22960.12, 22887.12, 22956.96
10/13/17, 22876.43, 22905.33, 22855.93, 22871.72
10/12/17, 22854.85, 22884.82, 22821.13, 22841.01
10/11/17, 22827.65, 22872.89, 22821.66, 22872.89
10/10/17, 22784.76, 22850.51, 22770.99, 22830.68
10/09/17, 22779.73, 22803.37, 22739.38, 22761.07
10/06/17, 22762.03, 22773.67, 22730.85, 22773.67
10/05/17, 22669.08, 22777.04, 22655.14, 22775.39
10/04/17, 22645.67, 22685.94, 22632.80, 22661.64
10/03/17, 22564.45, 22646.32, 22562.90, 22641.67
10/02/17, 22423.47, 22559.38, 22416.00, 22557.60
09/29/17, 22358.47, 22405.63, 22332.96, 22405.09
09/28/17, 22306.83, 22394.74, 22288.97, 22381.20
09/27/17, 22330.93, 22371.10, 22254.93, 22340.71
09/26/17, 22322.03, 22369.35, 22279.52, 22284.32
09/25/17, 22320.47, 22359.88, 22219.11, 22296.09
09/22/17, 22334.07, 22364.31, 22299.58, 22349.59
09/21/17, 22414.02, 22419.51, 22356.55, 22359.23
09/20/17, 22351.38, 22413.26, 22314.68, 22412.59
09/19/17, 22349.70, 22386.01, 22340.71, 22370.80
09/18/17, 22297.92, 22355.62, 22283.35, 22331.35
09/15/17, 22252.44, 22275.02, 22214.52, 22268.34
09/14/17, 22144.96, 22216.44, 22135.26, 22203.48
09/13/17, 22103.47, 22158.18, 22095.79, 22158.18
09/12/17, 22090.56, 22134.57, 22087.09, 22118.86
09/11/17, 21927.79, 22067.10, 21927.79, 22057.37
09/08/17, 21764.43, 21846.63, 21731.12, 21797.79
09/07/17, 21820.38, 21850.01, 21745.71, 21784.78
09/06/17, 21815.76, 21849.24, 21794.07, 21807.64
09/05/17, 21912.37, 21921.09, 21709.63, 21753.31
09/01/17, 21981.77, 22038.97, 21974.91, 21987.56
08/31/17, 21936.01, 21985.76, 21910.50, 21948.10
08/30/17, 21859.76, 21914.26, 21839.47, 21892.43
08/29/17, 21718.00, 21879.22, 21673.58, 21865.37
08/28/17, 21832.50, 21861.49, 21767.94, 21808.40
08/25/17, 21819.08, 21906.86, 21812.81, 21813.67
08/24/17, 21839.90, 21870.11, 21765.82, 21783.40
08/23/17, 21850.27, 21866.66, 21808.39, 21812.09
08/22/17, 21739.78, 21912.83, 21738.13, 21899.89
08/21/17, 21671.36, 21718.74, 21600.34, 21703.75
08/18/17, 21724.88, 21793.35, 21641.63, 21674.51
08/17/17, 21984.74, 21984.74, 21750.32, 21750.73
08/16/17, 22031.93, 22085.71, 22002.47, 22024.87
08/15/17, 22029.91, 22038.92, 21971.48, 21998.99
08/14/17, 21945.64, 22019.23, 21945.64, 21993.71
08/11/17, 21883.32, 21911.09, 21842.74, 21858.32
08/10/17, 21988.20, 21988.20, 21843.94, 21844.01
08/09/17, 22022.34, 22057.19, 21996.69, 22048.70
08/08/17, 22095.14, 22179.11, 22057.29, 22085.34
08/07/17, 22100.20, 22121.15, 22081.97, 22118.42
08/04/17, 22058.39, 22092.81, 22024.64, 22092.81
08/03/17, 22007.58, 22044.85, 21991.32, 22026.10
08/02/17, 22004.36, 22036.10, 21967.46, 22016.24
08/01/17, 21961.42, 21990.96, 21940.81, 21963.92
07/31/17, 21863.39, 21929.80, 21861.71, 21891.12
07/28/17, 21787.51, 21841.18, 21756.12, 21830.31
07/27/17, 21717.42, 21798.47, 21687.85, 21796.55
07/26/17, 21690.38, 21742.70, 21683.29, 21711.01
07/25/17, 21638.56, 21670.62, 21577.37, 21613.43
07/24/17, 21577.78, 21577.78, 21496.13, 21513.17
07/21/17, 21591.72, 21592.61, 21503.78, 21580.07
07/20/17, 21641.54, 21661.91, 21576.96, 21611.78
07/19/17, 21569.25, 21640.75, 21565.84, 21640.75
07/18/17, 21589.94, 21589.94, 21471.14, 21574.73
07/17/17, 21633.97, 21661.81, 21617.66, 21629.72
07/14/17, 21532.77, 21681.53, 21521.72, 21637.74
07/13/17, 21537.19, 21568.72, 21512.36, 21553.09
07/12/17, 21467.93, 21580.79, 21467.93, 21532.14
07/11/17, 21410.17, 21441.62, 21279.30, 21409.07
07/10/17, 21381.23, 21446.39, 21371.11, 21408.52
07/07/17, 21354.66, 21425.82, 21350.72, 21414.34
07/06/17, 21423.93, 21433.10, 21305.38, 21320.04
07/05/17, 21492.83, 21505.36, 21404.76, 21478.17
07/03/17, 21392.30, 21562.75, 21391.71, 21479.27
06/30/17, 21348.60, 21426.12, 21325.08, 21349.63
06/29/17, 21487.38, 21487.38, 21197.08, 21287.03
06/28/17, 21372.36, 21478.75, 21372.36, 21454.61
06/27/17, 21411.19, 21440.60, 21310.66, 21310.66
06/26/17, 21434.68, 21506.21, 21381.25, 21409.55
06/23/17, 21380.92, 21421.79, 21333.89, 21394.76
06/22/17, 21407.98, 21456.47, 21394.81, 21397.29
06/21/17, 21466.39, 21492.62, 21390.00, 21410.03
06/20/17, 21521.25, 21535.03, 21464.24, 21467.14
06/19/17, 21444.75, 21528.99, 21436.08, 21528.99
06/16/17, 21335.93, 21384.42, 21308.01, 21384.28
06/15/17, 21291.69, 21367.28, 21261.87, 21359.90
06/14/17, 21342.71, 21391.97, 21294.09, 21374.56
06/13/17, 21256.83, 21332.77, 21256.83, 21328.47
06/12/17, 21259.95, 21277.08, 21186.15, 21235.67
06/09/17, 21208.96, 21305.35, 21159.45, 21271.97
06/08/17, 21169.76, 21265.69, 21138.16, 21182.53
06/07/17, 21171.57, 21189.84, 21113.31, 21173.69
06/06/17, 21145.48, 21180.47, 21118.46, 21136.23
06/05/17, 21195.03, 21224.41, 21168.69, 21184.04
06/02/17, 21142.09, 21225.04, 21129.56, 21206.29
06/01/17, 21030.55, 21144.18, 20994.22, 21144.18
05/31/17, 21048.46, 21051.70, 20942.57, 21008.65
05/30/17, 21045.49, 21063.62, 21009.60, 21029.47
05/26/17, 21070.15, 21092.82, 21050.49, 21080.28
05/25/17, 21062.96, 21112.32, 21051.41, 21082.95
05/24/17, 20949.21, 21022.82, 20933.58, 21012.42
05/23/17, 20908.67, 20961.14, 20896.22, 20937.91
05/22/17, 20867.77, 20914.26, 20860.16, 20894.83
05/19/17, 20698.28, 20857.13, 20687.94, 20804.84
05/18/17, 20579.65, 20759.20, 20553.45, 20663.02
05/17/17, 20846.17, 20846.17, 20601.08, 20606.93
05/16/17, 20984.48, 21033.53, 20932.88, 20979.75
05/15/17, 20923.63, 21000.83, 20923.63, 20981.94
05/12/17, 20893.19, 20916.10, 20869.74, 20896.61
05/11/17, 20925.72, 20933.36, 20798.90, 20919.42
05/10/17, 20958.49, 20976.28, 20884.15, 20943.11
05/09/17, 21022.28, 21046.85, 20938.04, 20975.78
05/08/17, 20991.26, 21017.89, 20971.05, 21012.28
05/05/17, 20929.04, 21006.94, 20905.00, 21006.94
05/04/17, 20987.83, 20990.79, 20847.95, 20951.47
05/03/17, 20915.00, 20972.74, 20874.18, 20957.90
05/02/17, 20941.19, 20960.92, 20904.06, 20949.89
05/01/17, 20962.73, 20976.62, 20898.38, 20913.46
04/28/17, 20987.39, 20987.76, 20926.75, 20940.51
04/27/17, 20991.12, 21005.80, 20935.80, 20981.33
04/26/17, 21009.95, 21070.90, 20972.27, 20975.09
04/25/17, 20915.51, 21026.97, 20909.38, 20996.12
04/24/17, 20723.59, 20792.20, 20723.59, 20763.89
04/21/17, 20578.10, 20601.40, 20505.33, 20547.76
04/20/17, 20406.68, 20629.78, 20406.68, 20578.71
04/19/17, 20503.52, 20546.69, 20379.55, 20404.49
04/18/17, 20561.39, 20600.12, 20462.28, 20523.28
04/17/17, 20484.75, 20644.41, 20484.75, 20636.92
04/13/17, 20561.69, 20612.27, 20453.25, 20453.25
04/12/17, 20637.95, 20642.54, 20553.03, 20591.86
04/11/17, 20644.32, 20660.03, 20512.56, 20651.30
04/10/17, 20668.22, 20750.33, 20614.86, 20658.02
04/07/17, 20647.81, 20726.07, 20606.95, 20656.10
04/06/17, 20653.77, 20746.46, 20612.17, 20662.95
04/05/17, 20745.06, 20887.50, 20639.55, 20648.15
04/04/17, 20634.94, 20701.29, 20605.30, 20689.24
04/03/17, 20665.17, 20692.34, 20517.82, 20650.21
03/31/17, 20700.34, 20722.59, 20660.68, 20663.22
03/30/17, 20662.79, 20753.78, 20643.60, 20728.49
03/29/17, 20675.75, 20684.73, 20625.03, 20659.32
03/28/17, 20542.14, 20735.61, 20520.10, 20701.50
03/27/17, 20488.35, 20578.46, 20412.80, 20550.98
03/24/17, 20674.45, 20718.33, 20529.67, 20596.72
03/23/17, 20645.07, 20757.89, 20618.62, 20656.58
03/22/17, 20640.42, 20686.21, 20578.95, 20661.30
03/21/17, 20956.33, 20970.04, 20653.26, 20668.01
03/20/17, 20916.27, 20955.45, 20885.70, 20905.86
03/17/17, 20965.37, 20980.51, 20911.07, 20914.62
03/16/17, 20969.27, 21000.11, 20893.50, 20934.55
03/15/17, 20874.78, 20977.47, 20859.60, 20950.10
03/14/17, 20848.60, 20874.00, 20786.31, 20837.37
03/13/17, 20899.28, 20926.06, 20845.71, 20881.48
03/10/17, 20919.01, 20940.29, 20827.66, 20902.98
03/09/17, 20864.32, 20900.57, 20777.16, 20858.19
03/08/17, 20940.44, 20951.44, 20835.58, 20855.73
03/07/17, 20934.89, 20970.54, 20901.26, 20924.76
03/06/17, 20955.71, 20986.43, 20912.11, 20954.34
03/03/17, 21008.75, 21039.96, 20953.86, 21005.71
03/02/17, 21128.91, 21129.20, 20996.61, 21002.97
03/01/17, 20957.29, 21169.11, 20957.29, 21115.55
02/28/17, 20833.88, 20841.24, 20781.21, 20812.24
02/27/17, 20808.71, 20851.33, 20774.76, 20837.44
02/24/17, 20751.91, 20821.76, 20733.95, 20821.76
02/23/17, 20817.21, 20840.70, 20746.41, 20810.32
02/22/17, 20715.41, 20781.59, 20692.39, 20775.60
02/21/17, 20663.43, 20757.64, 20663.37, 20743.00
02/17/17, 20564.13, 20624.05, 20532.61, 20624.05
02/16/17, 20627.31, 20639.87, 20556.83, 20619.77
02/15/17, 20504.27, 20620.45, 20496.03, 20611.86
02/14/17, 20374.22, 20504.41, 20374.02, 20504.41
02/13/17, 20338.54, 20441.48, 20322.95, 20412.16
02/10/17, 20211.23, 20298.21, 20204.76, 20269.37
02/09/17, 20061.73, 20206.36, 20061.73, 20172.40
02/08/17, 20049.29, 20068.28, 20015.33, 20054.34
02/07/17, 20107.62, 20155.35, 20068.68, 20090.29
02/06/17, 20025.61, 20094.95, 20002.81, 20052.42
02/03/17, 19964.21, 20081.48, 19964.21, 20071.46
02/02/17, 19858.34, 19922.75, 19831.09, 19884.91
02/01/17, 19923.81, 19967.73, 19845.99, 19890.94
01/31/17, 19913.16, 19918.17, 19784.77, 19864.09
01/30/17, 20028.62, 20028.62, 19870.39, 19971.13
01/27/17, 20103.36, 20115.97, 20072.64, 20093.78
01/26/17, 20076.25, 20125.58, 20067.53, 20100.91
01/25/17, 19994.48, 20082.00, 19994.48, 20068.51
01/24/17, 19794.68, 19949.24, 19786.71, 19912.71
01/23/17, 19794.79, 19833.98, 19732.36, 19799.85
01/20/17, 19795.06, 19843.94, 19759.14, 19827.25
01/19/17, 19813.55, 19824.14, 19677.94, 19732.40
01/18/17, 19822.73, 19828.20, 19739.00, 19804.72
01/17/17, 19848.82, 19882.99, 19775.35, 19826.77
01/13/17, 19912.54, 19952.03, 19849.38, 19885.73
01/12/17, 19926.21, 19929.29, 19770.47, 19891.00
01/11/17, 19887.38, 19973.42, 19833.16, 19954.28
01/10/17, 19876.35, 19957.12, 19836.03, 19855.53
01/09/17, 19931.41, 19943.78, 19887.38, 19887.38
01/06/17, 19906.96, 19999.63, 19834.08, 19963.80
01/05/17, 19924.56, 19948.60, 19811.12, 19899.29
01/04/17, 19890.94, 19956.14, 19878.83, 19942.16
01/03/17, 19872.86, 19938.53, 19775.93, 19881.76
